,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.738,0.7388,0.8028,0.4785,0.8056,0.7438,0.7138,0.7764
TXP,0.8309,0.7474,0.8509,0.5218,0.7062,0.628,0.6791,0.584
ABP,0.7898,0.7084,0.8347,0.4173,0.605,0.5549,0.556,0.5537
AIP,0.8641,0.8566,0.9209,0.636,0.7375,0.7074,0.6087,0.8442
AVP,0.8485,0.7152,0.7974,0.416,0.4892,0.5048,0.4847,0.5267
ACP,0.8759,0.6026,0.7298,0.247,0.3112,0.306,0.3836,0.2545
AFP,0.8543,0.5686,0.7464,0.1614,0.2845,0.2359,0.2875,0.2
DDV,0.9472,0.6501,0.8502,0.3898,0.3786,0.4,0.5455,0.3158
CPP,0.9511,0.6966,0.8362,0.4614,0.4889,0.4792,0.575,0.4107
CCC,0.9756,0.7445,0.9165,0.5167,0.4265,0.5283,0.56,0.5
APP,0.9775,0.5,0.5422,0.0,0.0226,0.0,0.0,0.0
AAP,0.9853,0.5657,0.6955,0.253,0.1783,0.2105,0.5,0.1333
AHTP,0.9873,0.6082,0.8268,0.2293,0.2024,0.2353,0.25,0.2222
PBP,0.9932,0.6419,0.8244,0.3748,0.2842,0.3636,0.5,0.2857
QSP,0.9971,0.7857,0.9736,0.7548,0.7059,0.7273,1.0,0.5714
