,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7087,0.711,0.8018,0.4324,0.7913,0.7349,0.6629,0.8244
TXP,0.8231,0.7747,0.8645,0.5349,0.7253,0.6526,0.6273,0.68
ABP,0.783,0.721,0.8296,0.4251,0.5544,0.5681,0.5368,0.6033
AIP,0.8563,0.8422,0.9106,0.6118,0.685,0.6892,0.5949,0.8191
AVP,0.8319,0.7055,0.7812,0.3818,0.4394,0.4788,0.4389,0.5267
ACP,0.8504,0.6444,0.7161,0.2712,0.3154,0.3544,0.3307,0.3818
AFP,0.8553,0.5919,0.7346,0.204,0.2625,0.2816,0.3187,0.2522
DDV,0.9404,0.7538,0.8792,0.474,0.3653,0.5041,0.4697,0.5439
CPP,0.9404,0.7077,0.8488,0.4189,0.458,0.4505,0.4545,0.4464
CCC,0.9648,0.7042,0.9008,0.3829,0.3362,0.4,0.375,0.4286
APP,0.9775,0.5,0.2859,0.0,0.0143,0.0,0.0,0.0
AAP,0.9853,0.5985,0.7745,0.3101,0.2455,0.2857,0.5,0.2
AHTP,0.9912,0.5,0.7694,0.0,0.0355,0.0,0.0,0.0
PBP,0.9932,0.5,0.8833,0.0,0.0374,0.0,0.0,0.0
QSP,0.9971,0.7857,0.9357,0.7548,0.5969,0.7273,1.0,0.5714
