,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7439,0.7455,0.8164,0.4967,0.8065,0.7596,0.7029,0.8263
TXP,0.7967,0.7775,0.8611,0.511,0.7262,0.6401,0.564,0.74
ABP,0.7996,0.7704,0.8395,0.5005,0.5769,0.6279,0.5599,0.7149
AIP,0.8622,0.8535,0.9228,0.6304,0.7155,0.7032,0.6051,0.8392
AVP,0.8416,0.7057,0.8007,0.3947,0.4615,0.4873,0.4639,0.5133
ACP,0.8534,0.606,0.7219,0.2174,0.2719,0.2991,0.3077,0.2909
AFP,0.8553,0.6033,0.7668,0.2228,0.2739,0.3019,0.3299,0.2783
DDV,0.9482,0.6837,0.8768,0.4347,0.433,0.4536,0.55,0.386
CPP,0.9462,0.7445,0.8674,0.4848,0.5145,0.5133,0.5088,0.5179
CCC,0.9736,0.7261,0.9328,0.4779,0.3742,0.4906,0.52,0.4643
APP,0.9775,0.5,0.2891,0.0,0.0147,0.0,0.0,0.0
AAP,0.9853,0.5657,0.7444,0.253,0.1854,0.2105,0.5,0.1333
AHTP,0.9912,0.5,0.7039,0.0,0.0146,0.0,0.0,0.0
PBP,0.9932,0.5,0.7944,0.0,0.0186,0.0,0.0,0.0
QSP,0.9932,0.5,0.9083,0.0,0.0805,0.0,0.0,0.0
