,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.741,0.7413,0.8022,0.4825,0.811,0.741,0.7261,0.7565
TXP,0.827,0.7475,0.8539,0.5152,0.7032,0.6258,0.6637,0.592
ABP,0.7879,0.7042,0.8291,0.4102,0.5948,0.5489,0.5523,0.5455
AIP,0.8749,0.8347,0.914,0.6298,0.7184,0.7051,0.6511,0.7688
AVP,0.8514,0.7087,0.7909,0.4128,0.5141,0.5,0.4935,0.5067
ACP,0.8768,0.6152,0.7277,0.2689,0.3258,0.3298,0.3974,0.2818
AFP,0.8612,0.5763,0.7387,0.1848,0.2776,0.2526,0.32,0.2087
DDV,0.9453,0.7151,0.8689,0.4535,0.4646,0.4815,0.5098,0.4561
CPP,0.9492,0.7208,0.8543,0.475,0.4983,0.5,0.5417,0.4643
CCC,0.9746,0.6572,0.8413,0.4134,0.355,0.4091,0.5625,0.3214
APP,0.9775,0.5,0.5703,0.0,0.0285,0.0,0.0,0.0
AAP,0.9863,0.5662,0.6829,0.2942,0.2736,0.2222,0.6667,0.1333
AHTP,0.9912,0.5,0.3531,0.0,0.0067,0.0,0.0,0.0
PBP,0.9932,0.5,0.5202,0.0,0.0082,0.0,0.0,0.0
QSP,0.9932,0.5,0.7809,0.0,0.0221,0.0,0.0,0.0
