,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7175,0.7182,0.789,0.4373,0.791,0.7234,0.6949,0.7545
TXP,0.826,0.7577,0.8521,0.5226,0.7158,0.6367,0.65,0.624
ABP,0.784,0.7074,0.8329,0.4096,0.6031,0.5517,0.5418,0.562
AIP,0.8729,0.7744,0.9151,0.5768,0.6934,0.6524,0.6971,0.6131
AVP,0.8368,0.6642,0.7718,0.335,0.4737,0.43,0.4406,0.42
ACP,0.8651,0.6046,0.7127,0.2311,0.274,0.303,0.3409,0.2727
AFP,0.8592,0.5979,0.7414,0.2196,0.2838,0.2941,0.3371,0.2609
DDV,0.9462,0.6991,0.8913,0.4408,0.3951,0.466,0.5217,0.4211
CPP,0.955,0.7407,0.8765,0.5284,0.5469,0.549,0.6087,0.5
CCC,0.9687,0.6715,0.8968,0.3698,0.3452,0.3846,0.4167,0.3571
APP,0.9775,0.5,0.3417,0.0,0.0155,0.0,0.0,0.0
AAP,0.9863,0.5662,0.6911,0.2942,0.1752,0.2222,0.6667,0.1333
AHTP,0.9912,0.5,0.5933,0.0,0.0191,0.0,0.0,0.0
PBP,0.9941,0.5714,0.9211,0.3769,0.2487,0.25,1.0,0.1429
QSP,0.9932,0.5,0.6496,0.0,0.0099,0.0,0.0,0.0
