,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7263,0.7271,0.8005,0.4552,0.8097,0.7328,0.702,0.7665
TXP,0.8368,0.7567,0.8574,0.5396,0.7218,0.6424,0.6912,0.6
ABP,0.7722,0.6869,0.8206,0.3721,0.5854,0.5216,0.5184,0.5248
AIP,0.8749,0.7927,0.9227,0.5947,0.729,0.6718,0.6859,0.6583
AVP,0.8485,0.6821,0.7953,0.376,0.4757,0.4637,0.482,0.4467
ACP,0.868,0.5982,0.7364,0.2254,0.3263,0.2932,0.3457,0.2545
AFP,0.8475,0.6027,0.7644,0.2121,0.3168,0.2973,0.3084,0.287
DDV,0.9413,0.647,0.8657,0.3522,0.3977,0.375,0.4615,0.3158
CPP,0.9501,0.6961,0.8263,0.4547,0.4905,0.4742,0.561,0.4107
CCC,0.9726,0.7256,0.9081,0.4678,0.3647,0.4815,0.5,0.4643
APP,0.9707,0.4965,0.6542,-0.0126,0.0336,0.0,0.0,0.0
AAP,0.9834,0.5647,0.8405,0.2036,0.1398,0.1905,0.3333,0.1333
AHTP,0.9902,0.7198,0.9693,0.4395,0.4317,0.4444,0.4444,0.4444
PBP,0.9883,0.5685,0.9581,0.137,0.097,0.1429,0.1429,0.1429
QSP,0.9961,0.7852,0.9436,0.6743,0.6824,0.6667,0.8,0.5714
